id|source|fname|lname|street_address|district|voivodship|postcode|preferred|est_income|own_or_rent|purchases
7602|A|IGOR|Respundek|Skrytki Pocztowe Poczta Ostrów Mazowiecka 001, ul. Pocztowa 8|ostrowski|MAZOWIECKIE|7300|0||U|47500.0
7613|A|MAJA|Giwińska|Skrytki Pocztowe Poczta Wyszków 001, ul. Daszyńskiego 27|wyszkowski|MAZOWIECKIE|7200|0||U|121785.0
7615|A|KLARA|Goszczyna|Poczta Krzynowłoga Mała, ul. Przasnyska 3|przasnyski|MAZOWIECKIE|6316|0||U|108580.0
7631|A|ALEKSANDRA|Męckowski|Poczta Wołomin 003, Al. Niepodległości 17|wołomiński|MAZOWIECKIE|5202|0||U|23415.0
7642|A|MAJA|Januszczal|Poczta Mokobody, ul. Chreptowicza 8a 21|siedlecki|MAZOWIECKIE|8124|0||U|164900.0
7671|A|PAULINA|Niżniak|Poczta Zakroczym, ul. Ojca Koźmińskiego D. 1|nowodworski|MAZOWIECKIE|5170|0||U|38225.0
7675|A|HANNA|Indziel|Poczta Zabrodzie, ul. Jana Pawła 16|wyszkowski|MAZOWIECKIE|7230|0||U|119180.0
7682|A|MICHALINA|Ignatczenko|Poczta Nadarzyn, ul. Warszawska 5|pruszkowski|MAZOWIECKIE|5830|0||U|49180.0
7685|A|IGA|Skalbania|Poczta Pacyna, ul. Łukasiewicza 4|gostyniński|MAZOWIECKIE|9541|0||U|115350.0
7688|A|NINA|Gabrysek|Poczta Wierzbno koło Kałuszyna 70|węgrowski|MAZOWIECKIE|7111|0||U|218980.0
7702|A|MIKOŁAJ|Stawko|Poczta Drobin, ul. Komisji Edukacji Narodowej 4|płocki|MAZOWIECKIE|9210|0||U|29000.0
7707|A|JULIA|Kropik|Skrytki Pocztowe Poczta Otwock 004 (Świder), ul. Jasna 3|otwocki|MAZOWIECKIE|5402|0||U|136519.0
7710|A|STANISŁAW|Pewalski|Poczta Jadów, ul. Jana Pawła II 23|wołomiński|MAZOWIECKIE|5280|0||U|57165.0
7713|A|MAJA|Majbrocki|Poczta Domanice, ul. Domanice 52|siedlecki|MAZOWIECKIE|8113|0||U|101380.0
7718|A|TOMASZ|Howzan|Skrytki Pocztowe Poczta Otwock 004 (Świder), ul. Jasna 3|otwocki|MAZOWIECKIE|5402|0||U|43500.0
7721|A|LILIANNA|Koellner|Poczta Zatory 13|pułtuski|MAZOWIECKIE|7217|1||U|41590.0
7729|A|WIKTOR|Lodwich|Skrytki Pocztowe Poczta Ciechanów 004, ul. Kicińskiego 21/23|ciechanowski|MAZOWIECKIE|6402|0||U|134555.0
7741|A|LAURA|Smutrykowski|Poczta Krasnosielc 22|makowski|MAZOWIECKIE|6212|0||U|238935.0
7748|A|AUDREY|Bachert|Poczta Glinojeck, ul. Generała Bema Józefa 1|ciechanowski|MAZOWIECKIE|6450|0||U|73985.0
7752|A|IGA|Krzechowiecki|Poczta Płock 011, ul. Walecznych 9|M. Płock|MAZOWIECKIE|9409|1||U|38410.0
7753|A|KAROL|Rogow|Poczta Lelis, ul. Szkolna 41|ostrołęcki|MAZOWIECKIE|7402|0||U|72970.0
7758|A|KAMIL|Hadrjan|Poczta Czuryły 74|siedlecki|MAZOWIECKIE|8142|0||U|70510.0
7776|A|EMILIA|Zatylna|Skrytki Pocztowe Poczta Płock 001, ul. Bielska 14b 62|M. Płock|MAZOWIECKIE|9400|1||U|502470.0
7798|A|ŁUCJA|Zawioła|Poczta Cegłów, ul. Kościuszki 6|miński|MAZOWIECKIE|5319|0||U|43500.0
7811|A|ŁUCJA|Habener|Poczta Siedlce 006, ul. Chrobrego 17|M. Siedlce|MAZOWIECKIE|8119|0||U|147000.0
7816|A|MAJA|Hatko|Poczta Gąsocin, ul. Strażacka 21|ciechanowski|MAZOWIECKIE|6440|0||U|65100.0
7818|A|BARBARA|Czułakow|Poczta Pacyna, ul. Łukasiewicza 4|gostyniński|MAZOWIECKIE|9541|0||U|302820.0
7823|A|ANTONI|Herszowski|Poczta Łosice 47|łosicki|MAZOWIECKIE|8200|0||U|44970.0
7825|A|NIKOLA|Paziewski|Poczta Filia UP Zegrze Południowe, ul. Profesora Groszkowskiego 24|legionowski|MAZOWIECKIE|5131|0||U|59590.0
7837|A|NINA|Podkładek|Poczta Lucień, ul. Lucień 30 A 12|gostyniński|MAZOWIECKIE|9504|0||U|9190.0
7839|A|WIKTOR|Kwilicz|Poczta Kotuń, ul. Siedlecka 72|siedlecki|MAZOWIECKIE|8130|0||U|244237.0
7847|A|FILIP|Petrzyk|Poczta Brok, ul. Warszawska 15|ostrowski|MAZOWIECKIE|7306|0||U|99010.0
7852|A|ALEKSANDER|Dabros|Poczta Błędów 56|grójecki|MAZOWIECKIE|5620|0||U|253770.0
7865|A|KINGA|Heftman|Poczta Wieczfnia Kościelna, ul. Wieczfnia Kościelna 93|mławski|MAZOWIECKIE|6513|0||U|9990.0
7869|A|MIŁOSZ|Mrzygłud|Poczta Strachówka, ul. Norwida 6|wołomiński|MAZOWIECKIE|5282|0||U|22485.0
